YearOfObservation,Insured_Period,Residential,Building_Painted,Building_Fenced,Garden,Settlement,Building Dimension,Building_Type,Date_of_Occupancy,NumberOfWindows,Geo_Code,Claim
2013,1.0,0,1,0,1,1,290.0,1,1960.0,4.0,1053.0,0
2015,1.0,0,0,1,0,0,490.0,1,1850.0,4.0,1053.0,0
2014,1.0,0,1,0,1,1,595.0,1,1960.0,4.0,1053.0,0
2013,1.0,0,0,0,1,1,2840.0,1,1960.0,4.0,1053.0,0
2014,1.0,0,0,1,0,0,680.0,1,1800.0,3.0,1053.0,0
2012,1.0,0,0,1,0,0,535.0,1,1980.0,3.0,1143.0,0
2012,1.0,0,1,0,1,1,2830.0,1,1988.0,4.0,1143.0,0
2015,1.0,0,1,0,1,1,4952.0,1,1988.0,4.0,1160.0,0
2014,1.0,0,0,1,0,0,2735.0,1,2013.0,3.0,1173.0,1
2015,1.0,0,0,1,0,0,520.0,1,2011.0,2.0,1224.0,0
2013,0.24109589,0,0,1,0,0,550.0,1,1960.0,3.0,1283.0,0
2013,1.0,0,0,0,1,1,910.0,1,1960.0,4.0,1283.0,0
2013,1.0,0,0,1,0,0,842.0,1,1550.0,4.0,1305.0,0
2014,0.843835616,0,0,1,0,0,300.0,1,1900.0,2.0,1305.0,0
2012,1.0,0,1,0,1,1,560.0,1,1960.0,4.0,1363.0,0
2012,1.0,0,0,1,0,0,3326.0,1,2007.0,4.0,1419.0,1
2014,1.0,0,1,0,1,1,3990.0,1,1988.0,4.0,1419.0,1
2015,1.0,0,1,0,1,1,3990.0,1,1988.0,4.0,1419.0,0
2015,1.0,0,0,1,0,0,2444.0,1,1970.0,5.0,2059.0,0
2016,1.0,0,0,1,0,0,2444.0,1,1970.0,5.0,2059.0,0
2016,0.956284153,0,0,1,0,0,1626.0,1,1950.0,2.0,2173.0,0
2016,0.99726776,0,0,1,0,0,2400.0,1,1700.0,3.0,2408.0,0
2012,1.0,0,0,1,0,0,250.0,1,1900.0,4.0,2408.0,0
2012,1.0,1,0,1,0,0,2300.0,1,1970.0,4.0,2722.0,1
2016,0.99726776,0,1,0,1,1,600.0,1,1980.0,4.0,3095.0,0
2012,1.0,0,0,1,0,0,5439.0,1,1976.0,4.0,3190.0,0
2014,1.0,0,0,1,0,0,5439.0,1,1976.0,4.0,3190.0,1
2014,1.0,0,0,1,0,0,1100.0,1,1900.0,4.0,3190.0,0
2016,1.0,0,0,1,0,0,1200.0,1,1940.0,5.0,3310.0,0
2012,1.0,0,0,1,0,0,552.0,1,1950.0,5.0,3310.0,0
2014,1.0,0,0,1,0,0,900.0,1,1920.0,5.0,3310.0,0
2013,1.0,0,0,1,0,0,370.0,2,1982.0,3.0,4070.0,1
2016,1.0,0,0,1,0,0,1400.0,2,1960.0,3.0,4070.0,0
2016,0.99726776,1,1,0,1,1,1000.0,2,1960.0,4.0,4073.0,0
2012,1.0,0,0,1,0,0,480.0,2,1800.0,4.0,4088.0,0
2014,0.084931507,0,0,1,0,0,1300.0,2,1970.0,3.0,4094.0,0
2014,1.0,0,0,1,0,0,2900.0,2,1980.0,4.0,4094.0,1
2014,1.0,0,1,0,1,1,1300.0,2,1988.0,4.0,4112.0,0
2013,1.0,0,1,0,1,1,1300.0,2,1988.0,4.0,4112.0,0
2015,1.0,0,1,0,1,1,1300.0,2,1988.0,4.0,4112.0,0
2012,1.0,0,1,0,1,1,1592.0,2,1980.0,4.0,4126.0,0
2013,1.0,0,1,0,1,1,1592.0,2,1980.0,4.0,4126.0,0
2014,1.0,0,0,1,0,0,450.0,2,1980.0,4.0,4166.0,0
2016,1.0,0,1,0,1,1,480.0,2,1970.0,4.0,4176.0,0
2015,1.0,1,0,1,0,0,487.0,2,1980.0,3.0,4197.0,0
2015,1.0,0,0,1,0,0,1550.0,1,1972.0,4.0,5004.0,1
2016,0.99726776,0,0,1,0,0,1550.0,1,1972.0,4.0,5004.0,0
2014,1.0,1,0,1,0,0,650.0,1,2010.0,2.0,5004.0,1
2015,1.0,1,0,1,0,0,650.0,1,2010.0,2.0,5004.0,0
2014,1.0,0,0,1,0,0,2600.0,1,1971.0,6.0,5023.0,1
2013,1.0,0,1,0,1,1,1314.0,1,1988.0,4.0,5023.0,1
2013,1.0,0,0,0,1,1,2960.0,1,1988.0,4.0,5023.0,0
2015,1.0,0,0,0,1,1,2960.0,1,1988.0,4.0,5023.0,0
2015,1.0,0,0,0,1,1,1386.0,1,1988.0,4.0,5023.0,0
2012,1.0,0,0,0,1,1,1100.0,1,1988.0,4.0,5023.0,0
2013,1.0,0,0,0,1,1,1100.0,1,1988.0,4.0,5023.0,1
2014,1.0,0,0,1,0,0,680.0,1,1995.0,3.0,5023.0,0
2015,0.857534247,0,0,0,1,1,3325.0,1,1988.0,4.0,5023.0,0
2013,1.0,0,0,0,1,1,1254.0,1,1960.0,4.0,5023.0,1
2012,1.0,0,0,0,1,1,1000.0,1,1988.0,4.0,5023.0,0
2015,1.0,0,0,0,1,1,1842.0,1,1988.0,4.0,5023.0,0
2015,0.295890411,0,0,0,1,1,300.0,1,1980.0,4.0,5026.0,0
2013,1.0,0,0,0,1,1,1113.0,1,1988.0,4.0,5026.0,0
2013,1.0,0,0,1,0,0,310.0,1,1900.0,3.0,5052.0,0
2016,0.99726776,0,1,0,1,1,736.0,1,1960.0,4.0,5052.0,0
2013,1.0,0,0,1,0,0,2050.0,1,2007.0,5.0,5061.0,0
2014,1.0,0,0,1,0,0,2050.0,1,2007.0,5.0,5061.0,0
2013,1.0,1,0,1,0,0,1262.0,1,2006.0,3.0,5061.0,0
2012,1.0,0,0,0,1,1,470.0,1,1960.0,4.0,5061.0,0
2014,1.0,0,0,0,1,1,2400.0,1,1980.0,4.0,5061.0,0
2012,1.0,0,0,1,0,0,6510.0,1,1988.0,7.0,5061.0,1
2014,1.0,0,0,0,1,1,320.0,1,1960.0,4.0,5061.0,0
2012,1.0,0,0,1,0,0,425.0,1,1980.0,3.0,5061.0,0
2012,1.0,0,0,0,1,1,1500.0,1,1988.0,4.0,5065.0,0
2013,1.0,0,0,0,1,1,900.0,1,1988.0,4.0,5077.0,0
2012,1.0,0,1,0,1,1,600.0,1,1988.0,4.0,5077.0,0
2016,0.99726776,0,1,0,1,1,2000.0,1,1988.0,4.0,5085.0,0
2012,1.0,0,1,0,1,1,1000.0,1,1988.0,4.0,5085.0,0
2013,1.0,0,1,0,1,1,1000.0,1,1988.0,4.0,5085.0,0
2016,0.99726776,0,1,0,1,1,1000.0,1,1988.0,4.0,5085.0,0
2016,1.0,0,0,0,1,1,1650.0,1,1980.0,4.0,5110.0,0
2012,1.0,0,0,0,1,1,850.0,1,1980.0,4.0,5110.0,0
2015,1.0,0,0,0,1,1,850.0,1,1980.0,4.0,5110.0,0
2016,0.99726776,0,0,0,1,1,2600.0,1,1988.0,4.0,5110.0,0
2013,1.0,0,1,0,1,1,3500.0,1,1988.0,4.0,5110.0,1
2014,1.0,0,1,0,1,1,260.0,1,1988.0,4.0,5110.0,0
2015,1.0,0,0,1,0,0,530.0,1,1999.0,4.0,5133.0,0
2013,1.0,0,0,1,0,0,4700.0,1,1969.0,5.0,5133.0,1
2015,1.0,1,1,0,1,1,838.0,1,1960.0,4.0,5145.0,0
2013,1.0,0,1,0,1,1,1728.0,1,1988.0,4.0,5161.0,0
2013,1.0,0,0,0,1,1,1024.0,1,1960.0,4.0,5168.0,0
2015,1.0,0,0,1,0,0,1440.0,1,1985.0,5.0,5177.0,0
2012,1.0,0,0,0,1,1,300.0,1,1980.0,4.0,5177.0,0
2012,0.0,0,0,0,1,1,1700.0,1,1980.0,4.0,5177.0,0
2016,0.0,0,0,0,1,1,1700.0,1,1980.0,4.0,5177.0,0
2015,1.0,0,0,1,0,0,3688.0,1,1980.0,4.0,5177.0,1
2013,1.0,0,0,1,0,0,900.0,1,1970.0,5.0,5177.0,0
2013,1.0,0,0,0,1,1,3000.0,1,1980.0,4.0,5177.0,0
2013,1.0,0,0,1,0,0,1170.0,1,1972.0,5.0,5177.0,0
2016,0.99726776,0,0,1,0,0,2976.0,1,1965.0,9.0,5177.0,0
2013,1.0,0,0,0,1,1,4101.0,1,1988.0,4.0,5177.0,0
2014,1.0,0,0,1,0,0,800.0,4,1950.0,4.0,6004.0,0
2016,0.99726776,0,0,1,0,0,3100.0,4,1981.0,6.0,6004.0,0
2016,0.99726776,0,0,1,0,0,320.0,4,1971.0,3.0,6004.0,0
2016,0.781420765,0,0,1,0,0,2490.0,4,1972.0,6.0,6004.0,1
2016,0.99726776,0,0,1,0,0,1670.0,4,1975.0,5.0,6004.0,0
2013,1.0,0,0,0,1,1,900.0,4,1970.0,4.0,6004.0,0
2012,1.0,0,0,1,0,0,460.0,4,1940.0,5.0,6004.0,0
2016,0.99726776,0,0,1,0,0,3500.0,4,1900.0,4.0,6004.0,0
2014,1.0,0,1,0,1,1,14.0,4,1988.0,4.0,6004.0,0
2014,0.915068493,0,1,0,1,1,9570.0,4,1970.0,4.0,6004.0,0
2012,1.0,0,0,1,0,0,1200.0,4,1997.0,4.0,6004.0,0
2013,1.0,0,1,0,1,1,10.0,4,1988.0,4.0,6004.0,0
2012,1.0,0,0,1,0,0,570.0,4,1988.0,3.0,6004.0,0
2016,0.99726776,0,0,1,0,0,3522.0,4,2003.0,4.0,6004.0,0
2013,1.0,0,0,1,0,0,650.0,4,1990.0,4.0,6007.0,0
2015,0.98630137,0,0,1,0,0,650.0,4,1990.0,4.0,6007.0,0
2013,1.0,1,0,1,0,0,4112.0,4,1965.0,7.0,6011.0,1
2014,1.0,0,0,1,0,0,4112.0,4,1960.0,5.0,6011.0,0
2016,0.99726776,0,0,1,0,0,1470.0,4,1970.0,6.0,6011.0,0
2015,1.0,0,1,0,1,1,600.0,4,1960.0,4.0,6012.0,0
2016,0.99726776,0,1,0,1,1,600.0,4,1960.0,4.0,6012.0,1
2013,1.0,1,1,0,1,1,380.0,4,1960.0,4.0,6012.0,0
2013,0.084931507,0,1,0,1,1,460.0,4,1960.0,4.0,6012.0,0
2012,1.0,0,1,0,1,1,5419.0,4,1988.0,4.0,6012.0,1
2016,1.0,0,1,0,1,1,5419.0,4,1988.0,4.0,6012.0,1
2012,1.0,1,0,1,0,0,2800.0,4,1940.0,8.0,6012.0,1
2015,1.0,1,0,1,0,0,2800.0,4,1940.0,8.0,6012.0,0
2016,0.99726776,1,0,1,0,0,2800.0,4,1940.0,8.0,6012.0,0
2012,1.0,1,0,1,0,0,450.0,4,1920.0,4.0,6012.0,0
2014,1.0,1,0,1,0,0,1380.0,4,1960.0,5.0,6012.0,0
2012,1.0,0,0,1,0,0,428.0,4,1930.0,4.0,6012.0,0
2015,1.0,1,0,1,0,0,1000.0,4,1940.0,6.0,6012.0,0
2012,1.0,1,0,1,0,0,1100.0,4,1920.0,7.0,6012.0,0
2015,0.161643836,1,0,1,0,0,520.0,4,1973.0,5.0,6012.0,0
2013,1.0,1,0,1,0,0,300.0,4,1920.0,3.0,6012.0,1
